Feature ID	Taxon	Consensus
06c18b7a4621c95ad2ee11bda427f263	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter_A;s__Lysobacter_A helvus	1.0
06c6530caf1668884561938a24cb275f	Unassigned	1.0
06c67c40ec43d88aa3027f98184b6717	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium soli	1.0
06cbc9f37bd78aff2647da1db04927b8	Unassigned	1.0
06eaa85c42b3660dc772b8c48d2e7b87	Unassigned	1.0
06f752b653a95b06ac7213f2ffd435cb	Unassigned	1.0
06fa9a6736e24c6997f53cfde9c84291	Unassigned	1.0
0704d29204e2a8e6760aaec4deb42bee	Unassigned	1.0
070760b4f12d5cdbdfedbfd916c52c6f	Unassigned	1.0
070a07b75975eeda3f87c64d3ce90e75	Unassigned	1.0
072254ccebec3e4d39a68592dcbc3a2d	Unassigned	1.0
073356d92ada7499b8335b9591645edf	Unassigned	1.0
0733947d55951be7ef1aeace13005209	Unassigned	1.0
074523b244920dcdda1b086183230ff3	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Pedococcus;s__Pedococcus sp013041615	1.0
07486b1342fda9015d98eab6ebc57d82	Unassigned	1.0
07488769ad98944b804d4ba41b719db2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_F;s__Arthrobacter_F sp012952295	1.0
07614305954119769867f6ea48650f09	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Usitatibacteraceae;g__FEB-7;s__FEB-7 sp016720855	1.0
078a812e2d662c3b9b523b81fb3229d4	Unassigned	1.0
079541012b615d40601eb8af243389d9	Unassigned	1.0
079b18a50ff452b30813e093bff5e970	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-1;s__DP-1 sp005879605	1.0
079b3e255aeac4a77f9e2ec181917183	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_C;s__Nitrospira_C sp011405515	1.0
07a33b3c5077aac2afc90eda7fe5e6b0	Unassigned	1.0
07ac14de68449ad9d5a154ece509b685	Unassigned	1.0
07b664a1fd187749a6beae5978863b17	Unassigned	1.0
07c042a0173b167b063c4ef0086fb989	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__JACDCA01;s__JACDCA01 sp013817065	1.0
07c33ef8f38f87fa44a56e6a29d21cba	Unassigned	1.0
07c951348a57eb8af811cc062a26d067	Unassigned	1.0
07cb57f07b7512e9f0a5a759aec14764	Unassigned	1.0
07d608cbbe70bc436c02b56e1597c44c	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__Thiobacillus sp001899305	1.0
07da856910e7756619eca8cf9e382a93	Unassigned	1.0
07e164f5ce43a21a3741ed40ab5907d1	Unassigned	1.0
07f19342fc5b35b64e069bc8e0c57c62	Unassigned	1.0
081ddb346b4db0ffd08962f047a1d163	Unassigned	1.0
082571635f1b517f9f66ce6ac34d0037	Unassigned	1.0
0827085f395430a0f56bc335978114ea	Unassigned	1.0
08483a53b9c980ff85821c0eeaab7967	Unassigned	1.0
085cda49dfebb8e28eebc771f5b8944c	Unassigned	1.0
0871f2d5a8ded56f19d2329485663435	Unassigned	1.0
0878ca4dc330151de460138ce9c900ab	Unassigned	1.0
0879907bf9aae116501797eb9bc4fd2c	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Niastella;s__Niastella populi	1.0
087ac0171b84c6191b0e4fc472ffaa3c	Unassigned	1.0
087dc4ed650e03545e0f9a092016d9d3	Unassigned	1.0
087e4bb1edd58c6fab9b99b36662a0c0	Unassigned	1.0
087ef6cbc960c7de04540136b8060ca3	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__PNKF01;s__PNKF01 sp011525845	1.0
087faf0d0a2700f120f45d7e77682980	Unassigned	1.0
08828474b1b272456cc7ebe3f3991c11	Unassigned	1.0
0889b68ee0f157540058aa505d960c15	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-1;s__DP-1 sp005879605	1.0
08b49e1de1ac67bd863f01e2ba5aa1c9	Unassigned	1.0
08b5b0ce7987b17d13995a22924392d6	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__Anaeromyxobacter;s__Anaeromyxobacter sp000964525	1.0
08d833c31e40fade8d60d6814e03b096	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA12294;s__UBA12294 sp016716235	1.0
08de920249606396e2b548ca59d3fa07	d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__HRBIN12;g__AC-69;s__AC-69 sp005885325	1.0
08e161c17630acca66e735ab5a663ec4	Unassigned	1.0
08e8ea8cfd6883734675eb945701b73c	Unassigned	1.0
08ebb0faded696eaa7c3cb708320016a	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_C;s__Nitrospira_C japonica	1.0
08f351797eba68cb9c8cd87075e38eb4	Unassigned	1.0
08fc17d34d4da540b654f50503a58004	Unassigned	1.0
0923e3523f13e039cbf120e660855c28	Unassigned	1.0
093c1aa575420a42dd636a5abcae1a74	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__Thiobacillus denitrificans_B	1.0
093d41d62375f37fa771d15984d2b261	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__Allosphingosinicella ginsenosidimutans	1.0
094127056c261d61b6ce691e8dc71f22	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azospira;s__Azospira oryzae	1.0
09468a871e0f85151c35c858d105afdc	Unassigned	1.0
09479a78428b5ae5a1b06b4be4e13a3d	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__JJ008 sp016719165	1.0
094a915a3934a8533e447f708d52087a	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Terricaulis;s__Terricaulis silvestris	1.0
0955ce4460be0da5990861a1f57d6d7f	Unassigned	1.0
095a688c2c111036ad59ae90099cdd2d	Unassigned	1.0
095e2da3cebf16d251984c408177bf91	Unassigned	1.0
096dd95cdcccd642b50cb3e513800a4a	Unassigned	1.0
0983053fecd09dab5d78fd9ebfb48717	Unassigned	1.0
098ca698118ae875ce4a64925d679f87	Unassigned	1.0
099145c4cd50ff783c8b5d51cb97a8bc	Unassigned	1.0
0994f374363077c6577272408eaef5f4	Unassigned	1.0
099b945b0b994f0c9a2c42ab96027afe	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Z2-YC6860;s__Z2-YC6860 sp001579845	1.0
099ed295d5e4ed2db170a8e8b383e0de	Unassigned	1.0
09a1bd497bcf703c62b14ad0719ddc1f	Unassigned	1.0
09b2622368bb4ca51fccbf85796ad40e	Unassigned	1.0
09b490c9346971de5567e51b3593df6b	Unassigned	1.0
09b9473a62735e88d325ae6e38a9616b	Unassigned	1.0
09bf6189f4429c08da6c0dad701deee0	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__Palsa-1315 sp014379455	1.0
09c9786af10dfedd0f84fc6718223315	Unassigned	1.0
09ccaa1977abbf6c6741b5c0cb89c2b0	Unassigned	1.0
09da60a70f9879083b77416210977f85	Unassigned	1.0
09db7986f400b6534b50a7c498bfb819	Unassigned	1.0
09ddef83ee351dfb3e6a121297417a8c	Unassigned	1.0
09e1c41660a53d9aa8bf6966dea00d2c	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__SCUD01;s__SCUD01 sp016874295	1.0
09e2d4c186ffbac314594cd6488a3d46	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__JABFRZ01;s__JABFRZ01 sp009691855	1.0
09f623f08d6586a9bb8ff56800acb233	Unassigned	1.0
0a15921d6912339994bc4fee0bc1a379	Unassigned	1.0
0a21c4333972085b0282bb1c0ef8b1e1	Unassigned	1.0
